# trajectory data of sequence CCTV
# recorded at 12 fps, extracted at 2 fps and then interpolated at 10 fps for final output
# recording started at 2022-12-09T20:13:35+01:00
# z coordinate is the estimated height of person
# x_RGF and y_RGF are coordinates (in meters) in the RGF-93 Lambert-93 coordinate system (EPSG:2154)
# t/s is the time (number of seconds) using as reference date Friday, Dec. 9th at 20:00:00 (UTC+1)
# id frame x/m y/m z/m t/s x_RGF y_RGF
75 114 -2.636 62.198 1.8 824.400 842453.73 6520288.64
75 115 -2.663 62.255 1.8 824.500 842453.68 6520288.61
75 116 -2.691 62.312 1.8 824.600 842453.63 6520288.57
75 117 -2.718 62.370 1.8 824.700 842453.57 6520288.53
75 118 -2.746 62.427 1.8 824.800 842453.52 6520288.49
75 119 -2.773 62.484 1.8 824.900 842453.47 6520288.46
75 120 -2.801 62.542 1.8 825.000 842453.42 6520288.42
75 121 -2.859 62.566 1.8 825.100 842453.41 6520288.36
75 122 -2.917 62.590 1.8 825.200 842453.40 6520288.29
75 123 -2.976 62.614 1.8 825.300 842453.38 6520288.23
75 124 -3.034 62.639 1.8 825.400 842453.37 6520288.17
75 125 -3.092 62.663 1.8 825.500 842453.36 6520288.11
75 126 -3.089 62.633 1.8 825.600 842453.39 6520288.12
75 127 -3.086 62.603 1.8 825.700 842453.41 6520288.13
75 128 -3.083 62.573 1.8 825.800 842453.44 6520288.13
75 129 -3.081 62.543 1.8 825.900 842453.47 6520288.14
75 130 -3.078 62.513 1.8 826.000 842453.50 6520288.15
75 131 -3.120 62.600 1.8 826.100 842453.42 6520288.09
75 132 -3.161 62.686 1.8 826.200 842453.35 6520288.04
75 133 -3.203 62.773 1.8 826.300 842453.27 6520287.98
75 134 -3.245 62.859 1.8 826.400 842453.19 6520287.92
75 135 -3.287 62.946 1.8 826.500 842453.11 6520287.87
75 136 -3.340 63.031 1.8 826.600 842453.04 6520287.80
75 137 -3.393 63.117 1.8 826.700 842452.96 6520287.73
75 138 -3.446 63.203 1.8 826.800 842452.89 6520287.66
75 139 -3.500 63.289 1.8 826.900 842452.82 6520287.59
75 140 -3.553 63.375 1.8 827.000 842452.74 6520287.53
75 141 -3.568 63.527 1.8 827.100 842452.59 6520287.48
75 142 -3.582 63.678 1.8 827.200 842452.45 6520287.44
75 143 -3.597 63.830 1.8 827.300 842452.30 6520287.40
75 144 -3.612 63.982 1.8 827.400 842452.16 6520287.36
75 145 -3.627 64.134 1.8 827.500 842452.01 6520287.31
75 146 -3.649 64.132 1.8 827.600 842452.02 6520287.29
75 147 -3.671 64.129 1.8 827.700 842452.02 6520287.27
75 148 -3.694 64.127 1.8 827.800 842452.03 6520287.25
75 149 -3.716 64.125 1.8 827.900 842452.03 6520287.23
75 150 -3.739 64.123 1.8 828.000 842452.04 6520287.20
75 151 -3.753 64.152 1.8 828.100 842452.01 6520287.18
75 152 -3.767 64.181 1.8 828.200 842451.99 6520287.17
75 153 -3.781 64.211 1.8 828.300 842451.96 6520287.15
75 154 -3.795 64.240 1.8 828.400 842451.94 6520287.13
75 155 -3.809 64.270 1.8 828.500 842451.91 6520287.11
75 156 -3.860 64.326 1.8 828.600 842451.86 6520287.05
75 157 -3.911 64.383 1.8 828.700 842451.82 6520286.99
75 158 -3.962 64.440 1.8 828.800 842451.77 6520286.93
75 159 -4.013 64.496 1.8 828.900 842451.72 6520286.87
75 160 -4.064 64.553 1.8 829.000 842451.68 6520286.80
75 161 -4.107 64.642 1.8 829.100 842451.60 6520286.75
75 162 -4.150 64.731 1.8 829.200 842451.52 6520286.69
75 163 -4.193 64.820 1.8 829.300 842451.44 6520286.63
75 164 -4.236 64.909 1.8 829.400 842451.36 6520286.57
75 165 -4.279 64.998 1.8 829.500 842451.28 6520286.51
75 166 -4.268 64.999 1.8 829.600 842451.28 6520286.52
75 167 -4.257 65.000 1.8 829.700 842451.27 6520286.53
75 168 -4.245 65.001 1.8 829.800 842451.27 6520286.54
75 169 -4.234 65.002 1.8 829.900 842451.27 6520286.55
75 170 -4.223 65.004 1.8 830.000 842451.26 6520286.57
75 171 -4.274 65.061 1.8 830.100 842451.22 6520286.50
75 172 -4.326 65.118 1.8 830.200 842451.17 6520286.44
75 173 -4.377 65.175 1.8 830.300 842451.12 6520286.38
75 174 -4.428 65.233 1.8 830.400 842451.08 6520286.32
75 175 -4.480 65.290 1.8 830.500 842451.03 6520286.26
109 0 17.824 -6.105 1.8 813.000 842517.08 6520321.37
109 1 17.827 -6.073 1.8 813.100 842517.05 6520321.36
109 2 17.830 -6.040 1.8 813.200 842517.01 6520321.36
109 3 17.834 -6.008 1.8 813.300 842516.98 6520321.36
